name;score;url;Background;Body;Clothes;Eyes;Head;Mouth;Nose
PsychoMolly #769;0.00012943403336767778;https://crypto.com/nft/marketplace?asset=3e896c8ba9571c899be7364603cb87dc;Hot Pink;Polka Dots;Pajama;ETH Eyes;Halo;Ice Cream;Button Nose
PsychoMolly #9721;0.0001302773864630052;https://crypto.com/nft/marketplace?asset=e32b1fa1a49508538fe7b3bbe2d6273c;Diamonds;White;K-trix;Loca;Gray Hair;Cig;Heart Nose
PsychoMolly #4864;0.0001303046686864281;https://crypto.com/nft/marketplace?asset=d6bb82c98b812bdea66f81031b31cc24;Hot Pink;Black Moon;Geisha;Red Eyes;Purple Hair;Muahh;Teal Nose
PsychoMolly #3385;0.00013217199109952587;https://crypto.com/nft/marketplace?asset=9ab4d5ca12ce5957f561b334f4bb2385;Sun Down;Pink Stripes;Bad Girl;Shades;Headphones;Bitcoin Tab;Nose Ring
PsychoMolly #7718;0.00013262647333285552;https://crypto.com/nft/marketplace?asset=8be81afafab6ded797e76465bd38c7dc;Sun Down;White;Gold Angel;Shades;CDC Red Hair;Pink Slime;Heart Nose
PsychoMolly #4510;0.0001330523682903359;https://crypto.com/nft/marketplace?asset=c93b3760dac9985bc418601475713610;Dots;Diva;Angel;Purple Shadow;Hawaiian;Muahh;Gold Stud
PsychoMolly #151;0.00013555344861606808;https://crypto.com/nft/marketplace?asset=8fce247f7b37325da317a2b9a31b31f6;Diamonds;Polka Dots;Hoody;Cucumbers;Rainbow Afro;Big Gold Fish;Clown Nose
PsychoMolly #7399;0.00013619360633549072;https://crypto.com/nft/marketplace?asset=e5be73133e6a4d608403e0108d573d59;Sun Down;Mint Swirl;Leather;Shades;Burger Queen;Picante;Gold Stud
PsychoMolly #1845;0.00013893304973474287;https://crypto.com/nft/marketplace?asset=4312028b841f37ee78e95126c999fda7;Hot Pink;Diva;Geisha;Red Eyes;CDC Red Hair;Picante;Clown Nose
PsychoMolly #8551;0.00014056147935555824;https://crypto.com/nft/marketplace?asset=6bd6439b5a14327f412fafa55e653750;Dots;Glitter;Bomber Jacket;Geisha Eyes;Egyptian Crown;Geisha Lips;Teal Nose
PsychoMolly #2880;0.00014123372902552598;https://crypto.com/nft/marketplace?asset=7a022bfe46f5e923516a63a431203981;Hot Pink;White;White Dress;Loca;Egyptian Crown;Pink Yarn;Sugar Skull Nose
PsychoMolly #7468;0.00014222552812543054;https://crypto.com/nft/marketplace?asset=cf2b71fdb96ccaf6212a766b4278705f;Hearts;Diva;Gold Pacifier;Loca;Rolos;Picante;Gold Stud
PsychoMolly #5737;0.00014337739272240736;https://crypto.com/nft/marketplace?asset=e2d46c17621dac9e4273bc4677c75c37;Hot Pink;Cream;Egyptian Queen;9 Ball;Blonde Hair;Cig;Diamond Nose
PsychoMolly #8175;0.00014826616028226324;https://crypto.com/nft/marketplace?asset=497313b0cff5db5f9d901548fb1b3732;Hot Pink;Cream;Geisha;9 Ball;Night Cap;Gold Teeth;Gold Stud
PsychoMolly #3721;0.00014982008598184689;https://crypto.com/nft/marketplace?asset=0ce1f9e315b77d9b2c4ee8282eca35b9;Hearts;Pink Stripes;Leather;Bunny Mask;Rolos;Bitcoin Tab;Gold Stud
PsychoMolly #1196;0.00015126035623504443;https://crypto.com/nft/marketplace?asset=f7a68905bda47faab4c161e515588c9c;Diamonds;Tanned;Rainbow Shirt;Cyborg;Gray Hair;Big Gold Fish;Teal Nose
PsychoMolly #6524;0.00015158146162195466;https://crypto.com/nft/marketplace?asset=0a3525031d9c76c8f72575bc8c1650a5;Dots;Glitter;Sun Flower Dress;Cyborg;Gray Hair;Gold Teeth;Nose Ring
